hotel_id,name,city,country,tier,price_per_night_inr,star_rating,review_score,amenities,image_url,address
HTL_SWI_02,Victoria-Jungfrau Grand Hotel & Spa,Switzerland,Switzerland,Luxury 5-Star Historic,42000,4.9,4.9,"Jungfrau Peak Views, Nescens Spa, Belle Époque Architecture, Central Interlaken",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Höheweg 41, Interlaken"
HTL_SWI_03,Hotel Schweizerhof Luzern,Switzerland,Switzerland,Mid-Range / 5-Star Heritage,24000,4.8,4.8,"Lake Lucerne Promenade, Chapel Bridge 300m, Historic Festival Suites, Sauna",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Schweizerhofquai, Lucerne"
HTL_SWI_04,Matterhorn FOCUS Design Hotel Zermatt,Switzerland,Switzerland,Boutique Alpine / 4-Star,28000,4.9,4.9,"Matterhorn Facing Balconies, Heated Outdoor Saltwater Pool, Designer Chalet",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Schluhmattstrasse, Zermatt"
HTL_SWI_05,Balmers Hostel & Tents Interlaken,Switzerland,Switzerland,Budget / Alpine Hostel,4200,4.5,4.5,"Outdoor Hot Tub, Mountain View Garden, Skydiving Bookings, Cozy Swiss Chalet",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Hauptstrasse 23, Matten bei Interlaken"
HTL_JAI_01,Rambagh Palace (The Jewel of Jaipur),Jaipur,India,Luxury Palace 5-Star,35000,5.0,5.0,"Former Maharaja Residence, Peacocks in Gardens, Polo Bar, Jiva Grand Spa",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Bhawani Singh Road, Jaipur"
HTL_JAI_02,Samode Haveli Heritage Hotel,Jaipur,India,Heritage Boutique,12000,4.8,4.8,"Hand-Painted Frescoes, Marble Swimming Pool, Traditional Puppet Shows, Courtyard",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"Gangapole, Old Pink City, Jaipur"
HTL_JAI_03,Moustache Hostel Jaipur Rooftop,Jaipur,India,Budget / Backpacker,900,4.6,4.6,"Rooftop Pool, Fort View Cafe, Rajasthani Art Dorms, Walking Tours",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"MI Road, Near Sindhi Camp, Jaipur"
HTL_KER_01,Kumarakom Lake Resort Luxury Houseboat,Kerala,India,Luxury 5-Star Heritage,19000,4.9,4.9,"Backwater Meandering Pool, Ayurmana Ayurvedic Spa, Floating Kettuvallam Dining",https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800&q=80,"Vembanad Lake, Kumarakom, Kerala"
HTL_KER_02,Tea Valley Resort & Mist Villas Munnar,Munnar,India,Mid-Range / Comfort,4800,4.6,4.6,"Inside 25-Acre Tea Estate, Valley Clouds View, Treehouse Trek, Campfire",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Bison Valley Road, Pothamedu, Munnar"
HTL_JPN_01,Aman Tokyo Imperial Palace Skyline,Japan,Japan,Luxury 5-Star,62000,5.0,4.9,"Mount Fuji & Tokyo Skyline Views, 30m Black Basalt Pool, Onsen Bathing, Engawa Lounge",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"The Otemachi Tower, Chiyoda, Tokyo"
HTL_JPN_02,Shinjuku Granbell Hotel,Japan,Japan,Mid-Range / Design Hotel,11500,4.6,4.6,"Rooftop Sky Lounge, Modern Japanese Art, 500m to Shinjuku Station",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Kabukicho, Shinjuku, Tokyo"
HTL_JPN_03,UNPLAN Shinjuku Capsule & Hostel,Japan,Japan,Budget / Boutique Capsule,3200,4.7,4.7,"Modern Pods, English Speaking Barista Cafe, Common Lounge, Metro Access",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Shinjuku-ku, Tokyo"
HTL_BAL_01,The Kayon Jungle Resort Ubud,Bali,Indonesia,Luxury 5-Star Resort,24000,4.9,4.9,"Three-Tiered Valley Infinity Pool, Rain Forest Yoga, Serapung Spa, Floating Breakfast",https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800&q=80,"Bresela, Payangan, Ubud, Bali"
HTL_BAL_02,Kuta Beachfront Boutique Resort,Bali,Indonesia,Mid-Range / Comfort,4200,4.5,4.5,"Beach Access, Sunset Pool Bar, Surfing Lessons, Spa",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Jalan Pantai Kuta, Bali"
HTL_DUB_01,Atlantis The Royal Palm Jumeirah,Dubai,UAE,Ultra Luxury 5-Star,52000,5.0,4.9,"Sky Pool 90m in Air, Aquaventure Access, Celebrity Chef Restaurants, Private Beach",https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800&q=80,"Palm Jumeirah Crescent, Dubai"
HTL_DUB_02,Rove Downtown (Burj Khalifa View),Dubai,UAE,Mid-Range / Modern,8500,4.7,4.7,"Burj Khalifa Infinity Pool, 24h Gym, 500m to Dubai Mall, Daily Cinema",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"Downtown Dubai, UAE"
HTL_MLD_01,Anantara Veli Maldives Luxury Resort,Maldives,Maldives,Luxury 5-Star Resort,68000,4.9,4.9,"Overwater Sunset Bungalows, Turquoise Lagoon, Speedboat Transfer, Coral Reef Diving",https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=800&q=80,"South Male Atoll, Maldives"
HTL_LAD_01,The Grand Dragon Ladakh (Heated Luxury),Ladakh,India,Luxury 5-Star,13500,4.8,4.8,"Solar Heated Rooms, Stok Kangri Snow Views, Oxygen Support, Tibetan Dining",https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?w=800&q=80,"Old Road Sheynam, Leh, Ladakh"
