poi_id,name,city,region,country,category,rating,entry_fee_inr,avg_spend_inr,ideal_duration_hrs,lat,lon,tags,description,state
IND_RAJ_05,Udaipur City Palace & Lake Pichola Boat Ride,Udaipur,India,India,Royal Heritage & Lakes,4.9,400,1500.0,4.0,24.5764,73.6835,"city of lakes, taj lake palace, jag mandir, venice of east",Monumental royal granite palace rising above Lake Pichola with sunset boat cruises to Jag Mandir island palace.,Rajasthan
IND_RAJ_06,Mehrangarh Fort & Blue City Viewpoint,Jodhpur,India,India,Forts & Heritage,4.9,200,800.0,3.5,26.298,73.0189,"blue city, towering fort, rao jodha desert park, zipline",One of India's largest and most formidable hill forts towering 400 feet above the iconic indigo-blue houses of Jodhpur.,Rajasthan
IND_RAJ_07,Jaisalmer Golden Fort & Sam Sand Dunes Desert Safari,Jaisalmer,India,India,Desert & Living Fort,4.8,500,2500.0,5.0,26.9124,70.9127,"thar desert, camel safari, sand dunes, living fort, folk dance",The world's only living golden sandstone fort paired with camel safaris and folk dances amidst Thar desert sand dunes.,Rajasthan
IND_KER_01,Alleppey Luxury Backwaters Houseboat Cruise,Alleppey,India,India,Backwaters & Cruise,4.9,4500,6000.0,6.0,9.4981,76.3388,"kettuvallam, vembanad lake, backwaters, paddy fields, coconut palms",Cruise serene palm-fringed canals and emerald paddy lagoons on a private thatched-roof luxury Kettuvallam houseboat.,Kerala
IND_KER_02,Munnar Rolling Tea Estates & Eravikulam National Park,Munnar,India,India,Hill Station & Nature,4.8,200,800.0,4.0,10.0889,77.0595,"nilgiri tahr, tea gardens, anamudi peak, misty mountains, tea museum","Endless rolling tea plantations carpeted across misty Western Ghats, sanctuary to the rare Nilgiri Tahr mountain goat.",Kerala
IND_KER_03,Fort Kochi Chinese Fishing Nets & Mattancherry Palace,Kochi,India,India,Colonial Heritage,4.6,50,600.0,3.0,9.9656,76.2421,"chinese cantilever nets, jew town, spice markets, dutch palace","Historic seaport with 14th-century cantilevered Chinese fishing nets, antique spice bazaars, and Jewish Synagogue.",Kerala
IND_KER_04,Wayanad Edakkal Caves & Chembra Peak Heart Lake,Wayanad,India,India,Trekking & Adventure,4.7,150,800.0,4.0,11.6854,76.132,"prehistoric petroglyphs, heart shaped lake, misty hills, waterfalls",Prehistoric rock engravings inside Neolithic caves paired with a scenic trek to Chembra Peak's natural heart-shaped lake.,Kerala
IND_KER_05,Varkala Cliff Beach & Janardhana Swamy Temple,Varkala,India,India,Cliffs & Coastal,4.8,0,1000.0,3.0,8.7379,76.7163,"red laterite cliffs, arabian sea, yoga, beach cafes, sunset","Dramatic red laterite coastal cliffs overlooking the Arabian Sea with rooftop cafes, yoga retreats, and natural springs.",Kerala
IND_HP_01,Solang Valley Adventure & Rohtang Pass Snow Point,Manali,India,India,Snow & Adventure,4.8,1500,3000.0,5.0,32.3166,77.1583,"snow point, 3978m altitude, paragliding, zorbing, rohtang pass","Epic alpine gateway at 3,978m with year-round snow landscapes, paragliding, ATV rides, and Atal Tunnel access.",Himachal Pradesh
IND_HP_02,"Old Manali Cafes, Hadimba Temple & Jogini Falls",Manali,India,India,Culture & Waterfalls,4.7,0,800.0,3.5,32.2472,77.1892,"wooden pagoda temple, cedar forest, jogini waterfall trek, bohemian cafes","Historic 1553 wooden pagoda temple nestled in cedar woods, followed by a scenic waterfall trail in Vashisht.",Himachal Pradesh
IND_HP_03,"Shimla Mall Road, The Ridge & Jakhoo Hanuman Temple",Shimla,India,India,Colonial Hill Station,4.6,0,1000.0,3.5,31.1048,77.1734,"british summer capital, neo-gothic christ church, jakhoo ropeway","British India's summer capital featuring the pedestrian Ridge, historic Gaiety Theatre, and 108ft Jakhoo Hanuman statue.",Himachal Pradesh
IND_HP_04,Dharamshala & McLeod Ganj Dalai Lama Temple,Dharamshala,India,India,Tibetan Culture & Trekking,4.8,0,700.0,3.5,32.2396,76.3248,"little lhasa, tsuglagkhang complex, triund trek, dhauladhar ranges","Residence of His Holiness Dalai Lama surrounded by pine forests, Tibetan monasteries, and the Triund mountain trail.",Himachal Pradesh
IND_HP_05,Spiti Valley Key Monastery & Chandratal Moon Lake,Spiti Valley,India,India,High-Altitude Wilderness,5.0,500,3500.0,6.0,32.2965,78.0125,"middle land, 1000 year old monastery, crescent moon lake, stargazing","Cold desert mountain valley housing 1,000-year-old cliffside Key Monastery and the turquoise crescent Chandratal Lake.",Himachal Pradesh
IND_UK_01,Rishikesh Laxman Jhula & River Ganga White Water Rafting,Rishikesh,India,India,Yoga & Adventure,4.9,1200,2000.0,4.5,30.1294,78.3262,"yoga capital of world, ganga rafting, triveni ghat aarti, beatles ashram","World Yoga Capital on the banks of Holy Ganga offering Grade III/IV rapids rafting, suspension bridges, and evening aartis.",Uttarakhand
IND_UK_02,Nainital Emerald Naini Lake Boating & Snow View,Nainital,India,India,Lakes & Hill Station,4.6,300,900.0,3.0,29.3919,79.4542,"eye-shaped lake, yachting, naina devi temple, kumaon hills","Picturesque pear-shaped lake surrounded by seven lush hills, vintage paddle boating, and aerial ropeway viewpoints.",Uttarakhand
IND_UK_03,Auli Ski Resort & Nanda Devi Himalayan Peak View,Auli,India,India,Skiing & Snow,4.9,1500,3500.0,5.0,30.5293,79.5694,"india premier ski resort, 4km cable car, nanda devi 7816m, oak forests","India's premier ski destination with Europe-standard slopes, longest cable car in Asia, and views of India's 2nd highest peak.",Uttarakhand
IND_UK_04,Jim Corbett National Park Royal Bengal Tiger Safari,Corbett,India,India,Wildlife & Tigers,4.8,2500,4000.0,5.0,29.53,78.7747,"dhikala zone, bengal tigers, wild elephants, ramganga river","India's oldest national park established in 1936, famed for open-jeep tiger sightings in Dhikala and Bijrani zones.",Uttarakhand
IND_JK_01,Srinagar Dal Lake Floating Gardens & Shikara Ride,Srinagar,India,India,Lakes & Romance,4.9,800,2000.0,3.5,34.0837,74.87,"jewel of srinagar, wooden houseboats, mughal gardens, floating vegetable market",Glide through tranquil mirror waters in colorful cushioned wooden Shikara boats past floating lotus gardens and cedar houseboats.,Jammu & Kashmir
IND_JK_02,Gulmarg World Highest Gondola Cable Car & Skiing,Gulmarg,India,India,Snow & Gondola,4.9,1800,3000.0,4.5,34.0484,74.3805,"meadow of flowers, phase 2 apharwat peak 4000m, ski slopes","Ride Asia's highest operating cable car to 3,980 meters on Apharwat Peak with panoramic snow views toward Nanga Parbat.",Jammu & Kashmir
IND_JK_03,Pahalgam Betaab Valley & Baisaran 'Mini Switzerland',Kashmir,India,India,Valleys & Pine Meadows,4.8,200,1200.0,4.0,34.0137,75.3275,"lidder river, pony rides, betaab valley, alpine meadows","Verdant Lidder River valley framed by pine forests, snow-clad peaks, and idyllic horseback riding to Baisaran meadow.",Jammu & Kashmir
IND_LAD_01,"Pangong Tso High Altitude Azure Lake (4,225m)",Ladakh,India,India,High Altitude Wonder,5.0,500,3500.0,6.0,33.7595,78.6674,"color changing lake, chang la pass, 3 idiots lake, himalayas","World-famous 134km-long endorheic lake at 14,270 feet that dynamically shifts colors from brilliant blue to turquoise.",Ladakh
IND_LAD_02,Nubra Valley White Sand Dunes & Double-Hump Camels,Ladakh,India,India,Desert & Monasteries,4.9,400,2500.0,5.0,34.6863,77.5673,"bactrian camels, hunder dunes, diskit monastery giant buddha, khardung la","High-altitude desert valley reached via Khardung La pass (17,982 ft), home to two-humped Bactrian camels and 106ft Diskit Buddha.",Ladakh
IND_UP_01,Taj Mahal (Seven Wonders of the World),Agra,India,India,Wonder of the World,5.0,250,1000.0,3.5,27.1751,78.0421,"unesco, ivory marble mausoleum, shah jahan, mumtaz, yamuna river","The ultimate monument of eternal love, built of pristine white Makrana marble with exquisite semi-precious pietra dura inlay.",Uttar Pradesh
IND_UP_02,Kashi Vishwanath & Dashashwamedh Ganga Aarti,Varanasi,India,India,Spiritual & Sacred,4.9,0,500.0,3.5,25.3076,83.0107,"oldest living city, golden jyotirlinga temple, evening fire aarti, river ganga",The spiritual heartbeat of India on the banks of Holy Ganges featuring the Golden Kashi Vishwanath corridor and flaming aarti.,Uttar Pradesh
IND_DEL_01,"Qutub Minar, Red Fort & Humayun's Tomb (UNESCO Trio)",Delhi,India,India,UNESCO Architecture,4.7,150,600.0,4.0,28.5245,77.1855,"73m brick minaret, mughal red fort, garden tomb, chandni chowk","Historic monuments spanning Delhi Sultanate and Mughal dynasties, including the world's tallest brick minaret.",Delhi
IND_KAR_01,"Hampi UNESCO Ruins, Stone Chariot & Virupaksha",Hampi,India,India,UNESCO Ancient Ruins,4.9,100,800.0,4.5,15.335,76.46,"vijayanagara empire, boulder landscape, musical pillars, tungabhadra river",Ancient 14th-century capital of the Vijayanagara Empire with monolithic granite stone chariot and boulder-strewn landscape.,Karnataka
IND_KAR_02,Coorg Misty Coffee Plantations & Abbey Falls,Coorg,India,India,Coffee Estates & Nature,4.7,100,1200.0,3.5,12.4244,75.7382,"scotland of india, arabica coffee estate, dubare elephant camp, raja seat","The 'Scotland of India' blanketed in aromatic coffee plantations, cascading forest waterfalls, and Tibetan Golden Temple.",Karnataka
IND_TN_01,Ooty Nilgiri Mountain Toy Train & Doddabetta Peak,Ooty,India,India,Heritage Toy Train & Hills,4.8,250,1000.0,4.0,11.4102,76.695,"unesco steam toy train, queen of hill stations, botanical gardens, tea factory","UNESCO heritage steam railway chugging through blue Nilgiri mountains, botanical gardens, and chocolate factories.",Tamil Nadu
IND_TN_02,Mahabalipuram Shore Temple & Pancha Rathas,Mahabalipuram,India,India,UNESCO Rock-Cut Temples,4.8,100,500.0,3.0,12.6167,80.1917,"7th century pallava art, bay of bengal shore, monolith rathas",7th-century Pallava seaside sanctuary featuring monolithic granite chariots and open-air rock reliefs.,Tamil Nadu
IND_TN_03,Kanyakumari Vivekananda Rock & Thiruvalluvar Memorial,Kanyakumari,India,India,Coastal Confluence,4.7,150,600.0,3.0,8.078,77.555,"tri-sea confluence, southernmost tip of india, 133ft statue, sunrise sunset","The southernmost tip of mainland India where the Arabian Sea, Bay of Bengal, and Indian Ocean meet.",Tamil Nadu
IND_AND_01,Havelock Island Radhanagar Beach (Asia's Best Beach),Andaman,India,India,Tropical Paradise,5.0,0,2000.0,4.0,11.9844,92.9511,"asia best beach, powdery white sands, turquoise water, elephant beach snorkeling","Crowned Asia's best beach with pristine white coral sand, vibrant coral reefs, sea turtle snorkeling, and scuba diving.",Andaman & Nicobar
IND_NE_01,Cherrapunji Double Decker Living Root Bridges & Nohkalikai Falls,Meghalaya,India,India,Bio-Engineering Wonder,4.9,100,1000.0,5.0,25.2702,91.7323,"living root bridges, khasi bioengineering, 340m plunge waterfall, dawki river",Centuries-old bio-engineered living tree root bridges spanning jungle streams and India's tallest 340m plunge waterfall.,Meghalaya
IND_NE_02,Darjeeling Tiger Hill Kanchenjunga Sunrise & Tea Estates,Darjeeling,India,India,Himalayan Vistas & Tea,4.8,150,800.0,3.5,27.036,88.2627,"world 3rd highest peak, kanchenjunga sunrise, darjeeling toy train, champagne of teas","Witness golden sunrise illuminating Mount Kanchenjunga (8,586m) and taste world-famous organic Darjeeling black tea.",West Bengal
IND_PB_01,Amritsar Golden Temple (Harmandir Sahib) & Wagah Border,Amritsar,India,India,Spiritual & Patriotism,5.0,0,500.0,4.5,31.62,74.8765,"golden sanctum, 24/7 langar kitchen, wagah border flag ceremony, jallianwala bagh","The holiest Sikh shrine clad in 750kg of pure gold serving 100,000 free meals daily, followed by the electrifying Wagah Border ceremony.",Punjab
JPN_01,Sensō-ji Temple & Nakamise Dori,Japan,Asia,Japan,Heritage & Culture,4.8,0,800.0,2.5,35.7148,139.7967,"temple, history, tokyo, souvenir market, architecture","Tokyo's oldest ancient Buddhist temple founded in 628 AD, approached via the bustling Nakamise shopping street.",
JPN_02,"Fushimi Inari-taisha 10,000 Torii Gates",Japan,Asia,Japan,Heritage & Nature,4.9,0,400.0,3.0,34.9671,135.7727,"torii gates, kyoto, mountain hike, shrine, spiritual",World-renowned Shinto shrine famous for thousands of vermilion torii gates winding up sacred Mount Inari.,
JPN_03,Shibuya Crossing & Hachiko Memorial,Japan,Asia,Japan,Urban & Modern,4.7,0,1200.0,1.5,35.6595,139.7005,"scramble, city lights, tokyo, hachiko, shopping, neon",The world's busiest pedestrian scramble intersection flanked by giant video billboards and the loyal Hachiko bronze dog statue.,
JPN_04,Kinkaku-ji (Golden Pavilion) Zen Temple,Japan,Asia,Japan,Heritage & Zen,4.8,400,600.0,2.0,35.0394,135.7292,"gold pavilion, kyoto, zen garden, mirror pond, unesco",UNESCO World Heritage Zen temple whose top two floors are completely covered in pure gold leaf over a tranquil mirror pond.,
JPN_05,Arashiyama Bamboo Forest & Iwatayama Monkeys,Japan,Asia,Japan,Nature & Wildlife,4.8,500,700.0,3.0,35.017,135.6713,"bamboo grove, kyoto, scenic walk, wild monkeys, river view","Towering natural green bamboo stalks soaring skyward create an ethereal soundscape, paired with an alpine hike to view wild Japanese macaques.",
JPN_06,Tokyo Skytree Panoramic Observation Deck,Japan,Asia,Japan,Skyline & Observation,4.7,1800,2500.0,2.5,35.7101,139.8107,"skyline, tokyo, 634m tower, panoramic views, mount fuji view","Standing 634 meters high, offering 360-degree glass panoramas across the Tokyo metropolis and snow-capped Mount Fuji.",
JPN_07,Tsukiji Outer Market & Ginza Dining,Japan,Asia,Japan,Culinary & Food,4.8,1200,2500.0,2.5,35.6654,139.7707,"sushi, tokyo, street food, wagyu beef, seafood, culinary tour","Historic seafood haven lined with over 300 specialty vendors serving fresh sashimi, tamagoyaki, grilled scallops, and A5 Wagyu skewers.",
JPN_08,Mount Fuji 5th Station & Lake Kawaguchiko,Japan,Asia,Japan,Scenic Nature & Wonder,4.9,1500,3000.0,5.0,35.3606,138.7274,"mount fuji, lake cruise, ropeway, sacred mountain, alpine","Excursion to the scenic 5th station of sacred Mount Fuji, followed by a serene panoramic cable car ride over Lake Kawaguchiko.",
JPN_09,Nara Deer Park & Tōdai-ji Colossal Buddha,Japan,Asia,Japan,Heritage & Animals,4.8,450,600.0,3.0,34.6851,135.8398,"bowing deer, nara, bronze buddha, ancient capital, unesco","Home to over 1,200 friendly bowing sacred Sika deer and the grand Tōdai-ji temple housing the world's largest bronze Buddha statue.",
JPN_10,Dotonbori & Shinsaibashi Gastronomic District,Japan,Asia,Japan,Nightlife & Street Food,4.7,800,1800.0,3.0,34.6687,135.5013,"glico sign, osaka, takoyaki, okonomiyaki, canal cruise, neon","Osaka's vibrant gastronomic capital illuminated by giant mechanical neon crab signs and the Glico running man, famed for crispy takoyaki.",
SWI_01,Zurich Old Town (Altstadt) & Lindenhof,Switzerland,Europe,Switzerland,Heritage & Scenic,4.8,0,1500.0,2.5,47.3717,8.5422,"altstadt, zurich, cobblestone lanes, lindenhof hill view, grossmunster","Historic Roman hilltop viewpoint overlooking the Limmat River, Grossmünster twin towers, and Chagall stained glass at Fraumünster Church.",
SWI_02,Lake Zurich Sunset Cruise & Promenade,Switzerland,Europe,Switzerland,Scenic & Relaxation,4.8,1200,2000.0,2.0,47.3667,8.5417,"lake cruise, zurich, sunset promenade, alpine views, waterfront",Tranquil evening cruise on pristine glacial waters with alpine panoramas and elegant promenade strolls.,
SWI_03,Chapel Bridge (Kapellbrücke) & Water Tower,Switzerland,Europe,Switzerland,Heritage & Landmark,4.8,0,500.0,1.5,47.0516,8.3075,"14th century wooden bridge, lucerne, lake lucerne, paintings","Europe's oldest wooden covered footbridge spanning the Reuss River, adorned with 17th-century interior triangular paintings.",
SWI_04,Mount Pilatus Golden Roundtrip Cableway,Switzerland,Europe,Switzerland,Adventure & Mountain,4.9,3500,4500.0,4.0,46.9792,8.2536,"steepest cogwheel, lucerne, dragon mountain, panoramic cableway","Ascend on the world's steepest 48% gradient cogwheel railway to 2,132 meters elevation for 73 alpine peaks vistas.",
SWI_05,Jungfraujoch - Top of Europe & Ice Palace,Switzerland,Europe,Switzerland,Wonder & Alpine,5.0,6500,8000.0,6.0,46.5475,7.9825,"sphinx observatory, interlaken, 3454m railway, aletsch glacier","High-altitude train journey to Europe's highest railway station at 3,454 meters, featuring the Sphinx terrace and Aletsch Glacier.",
SWI_06,Lauterbrunnen Valley & Staubbach Falls,Switzerland,Europe,Switzerland,Nature & Waterfalls,4.9,0,1200.0,3.0,46.5936,7.9077,"72 waterfalls, interlaken, tolkien inspiration, cliffside cascades","The 'Valley of 72 Waterfalls' flanked by sheer vertical limestone cliffs, highlighted by Staubbach Falls cascading 300 meters down.",
SWI_07,Zermatt & Matterhorn Glacier Paradise,Switzerland,Europe,Switzerland,Iconic Alpine Wonder,5.0,5500,7000.0,5.0,45.9763,7.7491,"matterhorn, zermatt, car-free alpine village, gornergrat cogwheel","Car-free Swiss village backdropped by the unmistakable pyramidal peak of the Matterhorn, accessed via the Gornergrat railway.",
SWI_08,Bern Medieval Old City & Zytglogge Clock,Switzerland,Europe,Switzerland,Heritage & UNESCO,4.7,0,1200.0,2.5,46.9479,7.4474,"unesco capital, bern, sandstone arcades, astronomical clock","Switzerland's federal capital preserved with medieval sandstone arcades, ornate Renaissance fountains, and the 13th-century astronomical clock.",
PAR_01,Eiffel Tower Summit & Champ de Mars,Paris,Europe,France,Iconic Landmark,4.8,2400,3500.0,3.0,48.8584,2.2945,"iron lady, paris, summit elevator, sparkling lights, trocadero","Gustave Eiffel's 330-meter iron masterpiece offering panoramic city vistas, champagne summit bars, and nightly sparkle shows.",
PAR_02,Louvre Museum & Glass Pyramid,Paris,Europe,France,Art & History,4.9,1800,,4.0,48.8606,2.3376,"mona lisa, venus de milo, winged victory, i.m. pei pyramid, french royal palace, paris","The world's most visited museum displaying over 35,000 masterpieces including Leonardo da Vinci's Mona Lisa and the ancient Winged Victory.",
PAR_03,Montmartre & Sacré-Cœur Basilica,Paris,Europe,France,Heritage & Bohemian,4.8,0,,3.0,48.8867,2.3431,"artists square, place du tertre, white travertine basilica, moulin rouge, hill view, paris","Bohemian hilltop village where Picasso and Van Gogh painted, crowned by the Romano-Byzantine white domed Sacré-Cœur with panoramic city views.",
PAR_04,Seine River Evening Cruise & Pont Alexandre III,Paris,Europe,France,Scenic & Romance,4.8,1400,,2.0,48.864,2.3135,"illuminated monuments, bateaux mouches, gilded statues, bridges, sunset cruise, paris","Glide under 37 historic bridges past Notre-Dame, Musée d'Orsay, and Grand Palais bathed in golden evening illuminations.",
PAR_05,Palace of Versailles & Hall of Mirrors,Paris,Europe,France,Royal Heritage,4.9,2200,,5.0,48.8049,2.1204,"hall of mirrors, royal apartments, fountains show, king louis xiv, formal gardens, paris","Sun King Louis XIV's opulent 2,300-room royal chateau showcasing the 73-meter Hall of Mirrors and vast classical fountains.",
BAL_01,Tegallalang Emerald Rice Terraces & Jungle Swing,Bali,Asia,Indonesia,Scenic Nature,4.7,300,800.0,3.0,-8.4333,115.2833,"subak irrigation, ubud, emerald terraces, jungle swing",UNESCO-recognized subak agricultural terraces stepping down green ravines with exhilarating valley swings.,
BAL_02,Sacred Monkey Forest Sanctuary Ubud,Bali,Asia,Indonesia,Wildlife & Culture,4.6,450,600.0,2.0,-8.5188,115.2588,"macaques, ubud, ancient banyan trees, moss-covered statues","Lush jungle nature reserve housing over 1,000 Balinese long-tailed monkeys and 14th-century sacred temple complexes.",
BAL_03,Uluwatu Cliff Temple & Sunset Kecak Fire Dance,Bali,Asia,Indonesia,Culture & Sunset,4.9,750,1200.0,3.0,-8.8291,115.0847,"70m cliff, uluwatu, sunset amphitheater, ramayana chant","Perched on a 70-meter limestone cliff plunging into the Indian Ocean, hosting the hypnotic sunset Kecak fire dance.",
BAL_04,Nusa Penida Kelingking 'T-Rex' & Broken Beach,Bali,Asia,Indonesia,Adventure & Island,4.9,1500,2500.0,6.0,-8.7508,115.4746,"t-rex cliff, nusa penida, turquoise cove, manta ray snorkeling",Day boat excursion to the dramatic T-Rex shaped limestone promontory dropping into white sands and turquoise waters.,
DXB_01,Burj Khalifa At The Top (124th/148th Fl),Dubai,Middle East,UAE,Skyline & Landmark,4.9,3800,5000.0,2.5,25.1972,55.2744,"828m tower, world tallest, high speed elevator, desert view","Ascend the world's tallest building (828m) to enjoy panoramic views across the Arabian Gulf, desert dunes, and city skyline.",
DXB_02,"Dubai Mall, Giant Aquarium & Dancing Fountain",Dubai,Middle East,UAE,Shopping & Entertainment,4.8,1500,3000.0,3.5,25.1985,55.2796,"aquarium tunnel, choreographed fountain show, luxury brands","Walk through a 48-meter aquarium tunnel surrounded by sand tiger sharks, followed by the world's largest choreographed music fountain.",
DXB_03,Red Dunes 4x4 Desert Safari & Bedouin BBQ Camp,Dubai,Middle East,UAE,Adventure & Culture,4.9,2800,3500.0,6.0,24.8333,55.6667,"red dunes, dune bashing, camel ride, tanoura dance, bbq","High-octane dune bashing in Land Cruisers, sunset sandboarding, camel rides, and an authentic BBQ banquet under the desert stars.",
DXB_04,Museum of the Future,Dubai,Middle East,UAE,Futuristic Tech,4.8,3200,3800.0,2.5,25.2192,55.2819,"arabic calligraphy torus, space station simulation, ai exhibits","An architectural marvel shaped like a silver torus adorned with Arabic calligraphy, exhibiting 2071 space and bioengineering technology.",
MLD_01,Maafushi Island Coral Reef Snorkeling & Sea Turtles,Maldives,Asia,Maldives,Marine & Water,4.9,2500,3500.0,4.0,3.9405,73.4907,"sea turtles, reef sharks, clownfish, clear waters, boat trip","Snorkel over pristine coral atolls with hawksbill sea turtles, harmless blacktip reef sharks, and schools of blue tangs.",
MLD_02,Private Sandbank Picnic & Turquoise Lagoon Dip,Maldives,Asia,Maldives,Luxury & Relaxation,5.0,4500,6000.0,3.5,4.1755,73.5093,"isolated sandbar, turquoise lagoon, gourmet lunch, privacy",Speedboat transfer to an uninhabited gleaming white sandbank surrounded by 360 degrees of crystal turquoise lagoon.,
ITA_01,Colosseum & Roman Forum,Rome,Europe,Italy,Ancient Wonders,4.9,1800,2500.0,3.5,41.8902,12.4922,"gladiator arena, roman empire, ancient ruins, palatine hill","The largest ancient amphitheater ever built, staging gladiatorial contests and public spectacles in the heart of Rome.",
ITA_02,"Vatican Museums, Sistine Chapel & St. Peter's",Rome,Europe,Italy,Art & Religion,5.0,2200,3000.0,4.5,41.9029,12.4534,"michelangelo ceiling, papal apartments, st peters dome, art",Immense papal art collection crowned by Michelangelo's transcendent Sistine Chapel ceiling and the colossal St. Peter's Basilica.,
ITA_03,Trevi Fountain & Spanish Steps,Rome,Europe,Italy,Baroque & Romance,4.8,0,800.0,2.0,41.9009,12.4833,"coin toss, baroque fountain, gelato, spanish steps, piazza navona","Toss a coin into Rome's most famous Baroque fountain to ensure your return, followed by sunset gelato on the Spanish Steps.",
ITA_04,Venice Grand Canal Gondola & St. Mark's Basilica,Italy,Europe,Italy,Canals & Romance,4.9,3500,5000.0,3.5,45.4342,12.3388,"gondola ride, rialto bridge, st marks square, doges palace",Glide through tranquil romantic canals past 13th-century Byzantine palazzos on a traditional black wooden gondola.,
UK_01,Tower of London & Crown Jewels,London,Europe,United Kingdom,Royal Fortress,4.8,3000,3800.0,3.0,51.5081,-0.0759,"crown jewels, tower bridge, yeoman warders, medieval prison","Nearly 1,000-year-old Norman royal castle and fortress guarding the priceless 23,578 gemstones of the British Crown Jewels.",
UK_02,British Museum & Rosetta Stone,London,Europe,United Kingdom,World Heritage,4.9,0,1200.0,3.5,51.5194,-0.127,"rosetta stone, egyptian mummies, parthenon sculptures, glass dome","Dedicated to human history, art and culture, housing over 8 million works including the Rosetta Stone and Egyptian mummies.",
UK_03,"Big Ben, Westminster Abbey & London Eye",London,Europe,United Kingdom,Iconic Sights,4.8,2800,3500.0,3.0,51.5007,-0.1246,"elizabeth tower, houses of parliament, thames wheel, royal coronations","London's defining architectural silhouette along the River Thames, featuring the giant cantilevered London Eye observation wheel.",
USA_01,Statue of Liberty & Ellis Island,New York,Americas,USA,Iconic Wonder,4.8,2200,3000.0,4.0,40.6892,-74.0445,"lady liberty, ferry cruise, immigration museum, harbor view","America's colossal neoclassical symbol of freedom standing in New York Harbor, approached by scenic Hudson River ferry.",
USA_02,Central Park & The Metropolitan Museum of Art (Met),New York,Americas,USA,Parks & Fine Art,4.9,2500,3500.0,4.5,40.7794,-73.9632,"bow bridge, bethesda fountain, 5000 years of art, 5th avenue","843-acre urban oasis flanked by the Met Museum exhibiting over 2 million works spanning 5,000 years of global human creativity.",
